( passenger, driver )
( 4490, 116)
( 4520, 116)
( 316, 645)
( 4481, 116)
( 4479, 3881)
( 4413, 116)
( 4475, 116)
( 4523, 3881)
( 4473, 3881)
( 4470, 3881)
( 4467, 3881)
( 4466, 3881)
( 4530, 116)
( 4463, 3881)
( 349, 645)
( 4462, 116)
( 352, 645)
( 353, 645)
( 309, 645)
( 4452, 3881)
( 4651, 3881)
( 426, 645)
( 431, 645)
( 4626, 3881)
( 435, 645)
( 4331, 3881)
( 4330, 3881)
( 4327, 3881)
( 4629, 4586)
( 4630, 116)
( 442, 645)
( 4637, 116)
( 4313, 3881)
( 4644, 116)
( 4310, 116)
( 451, 645)
( 251, 429)
( 4655, 116)
( 4659, 3881)
( 4303, 116)
( 4302, 116)
( 4660, 116)
( 4662, 3881)
( 4664, 3881)
( 460, 645)
( 4294, 3881)
( 462, 645)
( 464, 645)
( 4291, 116)
( 466, 645)
( 4666, 116)
( 4384, 116)
( 4411, 116)
( 4409, 2122)
( 4566, 116)
( 4404, 116)
( 4571, 3881)
( 4573, 116)
( 4399, 3881)
( 395, 645)
( 4397, 116)
( 4391, 116)
( 4586, 3881)
( 4587, 116)
( 401, 645)
( 4591, 116)
( 175, 429)
( 4383, 116)
( 4382, 3881)
( 4370, 3881)
( 4593, 3881)
( 4594, 4586)
( 264, 429)
( 4360, 3881)
( 4600, 3881)
( 262, 429)
( 416, 645)
( 4609, 3881)
( 255, 429)
( 4612, 116)
( 4613, 116)
( 4019, 3881)
( 727, 645)
( 3918, 3881)
( 4965, 116)
( 646, 645)
( 4952, 3881)
( 3936, 3881)
( 3917, 3881)
( 3946, 3881)
( 3954, 3881)
( 4035, 3881)
( 681, 645)
( 4941, 116)
( 730, 645)
( 672, 645)
( 3939, 3881)
( 3945, 116)
( 3914, 3881)
( 3913, 116)
( 4910, 3881)
( 642, 1695)
( 14, 2810)
( 4963, 3881)
( 641, 645)
( 4039, 3881)
( 4939, 3881)
( 3982, 3881)
( 4985, 3881)
( 3989, 3881)
( 67, 2810)
( 3932, 116)
( 4870, 116)
( 3950, 3881)
( 3993, 116)
( 3931, 3881)
( 3929, 3881)
( 4024, 3881)
( 4868, 116)
( 4904, 3881)
( 4026, 3881)
( 3990, 3881)
( 666, 645)
( 701, 1695)
( 3988, 3881)
