( passenger, driver )
( 2185, 2385)
( 2187, 2039)
( 2188, 1991)
( 2195, -1)
( 2199, -1)
( 2200, -1)
( 2206, 799)
( 2207, 2452)
( 2208, -1)
( 2210, -1)
( 2212, 953)
( 2214, 2185)
( 2218, 723)
( 2219, -1)
( 2221, -1)
( 2223, 1974)
( 2225, -1)
( 2228, -1)
( 2230, -1)
( 2231, -1)
( 2233, 1582)
( 2234, -1)
( 2236, -1)
( 2240, 306)
( 2241, 2278)
( 2242, -1)
( 2243, -1)
( 2247, 484)
( 2248, 202)
( 2249, -1)
( 2251, 1124)
( 2252, 287)
( 2254, 1882)
( 2256, 2645)
( 2257, -1)
( 2258, -1)
( 2259, -1)
( 2260, -1)
( 2262, -1)
( 2264, 408)
( 2265, 284)
( 2266, 818)
( 2268, 2784)
( 2269, 593)
( 2270, -1)
( 2272, 679)
( 2273, -1)
( 2276, 1276)
( 2277, -1)
( 2278, -1)
( 2280, 2832)
( 2281, -1)
( 2284, -1)
( 2285, -1)
( 2289, -1)
( 2292, 1239)
( 2293, -1)
( 2294, -1)
( 2296, -1)
( 2300, 1215)
( 2307, -1)
( 2309, -1)
( 2312, -1)
( 2314, 1463)
( 2315, -1)
( 2318, -1)
( 2321, 528)
( 2323, 612)
( 2325, -1)
( 2326, -1)
( 2327, 2967)
( 2329, 1804)
( 2335, -1)
( 2336, -1)
( 2338, 711)
( 2339, 1044)
( 2340, 443)
( 2341, -1)
( 2342, -1)
( 2345, -1)
( 2346, 1007)
( 2347, -1)
( 2348, -1)
( 2349, -1)
( 2350, 955)
( 2351, -1)
( 2354, -1)
( 2355, 742)
( 2358, -1)
( 2361, -1)
( 2363, 2881)
( 2366, -1)
( 2367, -1)
( 2368, -1)
( 2370, 82)
( 2374, 1123)
( 2375, -1)
( 2376, 2319)
( 2377, -1)
( 2379, 709)
( 2382, 2763)
( 2384, -1)
( 2385, -1)
( 2388, -1)
( 2389, -1)
( 2390, -1)
( 2391, 1057)
( 2392, -1)
( 2393, 1538)
( 2395, -1)
( 2396, -1)
( 2397, -1)
( 2399, 2770)
( 2402, 699)
( 2407, -1)
( 2408, 565)
( 2413, 465)
( 2414, -1)
( 2416, -1)
( 2417, 2180)
( 2418, -1)
( 2420, 2323)
( 2421, -1)
( 2422, 2513)
( 2424, -1)
( 2425, -1)
( 2427, -1)
